run_name,metric,status,first,last,min,delta_last_first,decreased,first_epoch,last_epoch,min_epoch
struct_robust_top3_l003,train_struct_DETNLF_D,missing,,,,,,,,
struct_robust_top3_l003,train_struct_EMPLOY_D,missing,,,,,,,,
struct_robust_top3_l003,train_struct_FREQ1_D,ok,0.0006336848803276143,0.00039051190340848627,0.0003805707721450177,-0.00024317297691912805,True,1.0,16.0,15.0
struct_robust_top3_l003,train_struct_FREQ2_D,missing,,,,,,,,
struct_robust_top3_l003,train_struct_FREQ_ATND_SELF_HELP_D,ok,0.0018082334547316434,0.0009371447218704858,0.0009088616827968775,-0.0008710887328611576,True,1.0,16.0,15.0
struct_robust_top3_l003,train_struct_SUB1_D,ok,0.00479526660357572,0.0013246013925901033,0.001305051680784854,-0.0034706652109856165,True,1.0,16.0,15.0
struct_robust_top3_l003,train_struct_loss,ok,0.002412395064178064,0.0008840860317072964,0.0008648280669783388,-0.0015283090324707674,True,1.0,16.0,15.0
struct_robust_top3_l003,valid_struct_DETNLF_D,missing,,,,,,,,
struct_robust_top3_l003,valid_struct_EMPLOY_D,missing,,,,,,,,
struct_robust_top3_l003,valid_struct_FREQ1_D,ok,0.0006672191229214199,0.00029674045279100877,0.0002743386860548117,-0.00037047867013041116,True,1.0,16.0,13.0
struct_robust_top3_l003,valid_struct_FREQ2_D,missing,,,,,,,,
struct_robust_top3_l003,valid_struct_FREQ_ATND_SELF_HELP_D,ok,0.0010017901071595078,0.0008129897431807952,0.0007713988768855332,-0.00018880036397871266,True,1.0,16.0,11.0
struct_robust_top3_l003,valid_struct_SUB1_D,ok,0.00175050683928346,0.0010378030422485407,0.0010378030422485407,-0.0007127037970349193,True,1.0,16.0,16.0
struct_robust_top3_l003,valid_struct_loss,ok,0.0011398387275029555,0.0007158444349017473,0.0007158444349017473,-0.00042399429260120815,True,1.0,16.0,16.0
struct_robust_top3_l003,train_lambda_struct_loss_ratio,ok,2.7105271740148763e-06,1.2842786777761606e-06,1.2533494178671245e-06,-1.4262484962387156e-06,True,1.0,16.0,15.0
struct_robust_top3_l003,valid_lambda_struct_loss_ratio,ok,1.6090265512635709e-06,1.10187661773733e-06,1.10187661773733e-06,-5.071499335262408e-07,True,1.0,16.0,16.0
struct_top6_l001,train_struct_DETNLF_D,ok,0.002705035749019162,0.0005018508701066304,0.0005018508701066304,-0.0022031848789125317,True,1.0,30.0,30.0
struct_top6_l001,train_struct_EMPLOY_D,ok,0.0007985988712530885,0.00048185835871538427,0.0004670930778239389,-0.00031674051253770426,True,1.0,30.0,25.0
struct_top6_l001,train_struct_FREQ1_D,ok,0.0005894167011278231,0.0003933781323596139,0.0003627430932900915,-0.00019603856876820918,True,1.0,30.0,29.0
struct_top6_l001,train_struct_FREQ2_D,ok,0.002308852262445859,0.00012140656358736816,0.00011627325693657148,-0.0021874456988584907,True,1.0,30.0,28.0
struct_top6_l001,train_struct_FREQ_ATND_SELF_HELP_D,ok,0.0017694791929213994,0.0008752740376029236,0.0008588512049621578,-0.0008942051553184758,True,1.0,30.0,25.0
struct_top6_l001,train_struct_SUB1_D,ok,0.0047777150682848666,0.0012810168531976979,0.0012709595334228585,-0.003496698215087169,True,1.0,30.0,29.0
struct_top6_l001,train_struct_loss,ok,0.0021581830368873904,0.0006091308195201077,0.0006044277560992227,-0.0015490522173672826,True,1.0,30.0,29.0
struct_top6_l001,valid_struct_DETNLF_D,ok,0.0005696851178339401,0.0004631251408056347,0.0004609053337160464,-0.00010655997702830537,True,1.0,30.0,14.0
struct_top6_l001,valid_struct_EMPLOY_D,ok,0.00054103450664349,0.0003713736317409929,0.00035791730624623597,-0.0001696608749024971,True,1.0,30.0,29.0
struct_top6_l001,valid_struct_FREQ1_D,ok,0.0005026172586623793,0.0002737134753661273,0.0002715255885033595,-0.000228903783296252,True,1.0,30.0,20.0
struct_top6_l001,valid_struct_FREQ2_D,ok,0.00019171489725731006,9.453766321103353e-05,8.77710360469758e-05,-9.717723404627654e-05,True,1.0,30.0,27.0
struct_top6_l001,valid_struct_FREQ_ATND_SELF_HELP_D,ok,0.0009788236564234618,0.0008586414114021004,0.0007588184447190083,-0.00012018224502136142,True,1.0,30.0,17.0
struct_top6_l001,valid_struct_SUB1_D,ok,0.0016609025865989746,0.0010369312188506913,0.0010293779815675331,-0.0006239713677482833,True,1.0,30.0,24.0
struct_top6_l001,valid_struct_loss,ok,0.0007407963532236738,0.0005163871047702199,0.0005149635176041906,-0.00022440924845345384,True,1.0,30.0,23.0
struct_top6_l001,train_lambda_struct_loss_ratio,ok,2.426361109207749e-06,9.01549469414651e-07,8.934474831869869e-07,-1.5248116397930979e-06,True,1.0,30.0,28.0
struct_top6_l001,valid_lambda_struct_loss_ratio,ok,1.0462481424161369e-06,8.028706499891648e-07,7.945438117686088e-07,-2.433774924269721e-07,True,1.0,30.0,17.0
