LOS,w_ad_mean,w_ad_std,n_samples,w_dis_mean,w_dis_std,w_merged_mean,w_merged_std
1,0.2939475,0.31987688,510015,0.18503709,0.23084421,0.52101547,0.35620695
2,0.18042028,0.23585378,130340,0.16230963,0.20731637,0.65727013,0.31243604
3,0.18162356,0.23063955,110765,0.17631416,0.20666748,0.6420623,0.30901697
4,0.16511808,0.20978853,100805,0.17731003,0.19862822,0.65757185,0.29283533
5,0.16378812,0.20867202,101650,0.1799685,0.19595733,0.6562434,0.28783754
6,0.17570867,0.21897839,71555,0.19859539,0.20826958,0.62569594,0.29806462
7,0.18179715,0.22996792,66985,0.21891108,0.22227235,0.59929174,0.31160852
8,0.20461163,0.2379884,50420,0.24714355,0.23594503,0.54824483,0.3147297
9,0.19948891,0.23988636,33655,0.24449521,0.2389929,0.5560159,0.3199672
10,0.19153997,0.23489404,27185,0.24175572,0.23685619,0.5667043,0.31834808
11,0.19127358,0.23351267,23325,0.24272686,0.23730083,0.56599957,0.31809264
12,0.1961342,0.24220553,20055,0.24165854,0.23764463,0.5622073,0.3206419
13,0.17861977,0.22786902,26250,0.22255406,0.22370434,0.59882617,0.31465107
14,0.17521363,0.2241747,33070,0.21868129,0.21913265,0.6061051,0.3095068
15,0.22067718,0.2438707,30100,0.25941497,0.23164213,0.51990783,0.31048083
16,0.212956,0.24198347,20340,0.27200213,0.24471058,0.5150419,0.3168153
17,0.19878475,0.23298794,17875,0.26198742,0.24093091,0.53922784,0.31487548
18,0.2035343,0.2404068,17395,0.25213987,0.23659565,0.5443258,0.31589234
19,0.20216751,0.2390375,17280,0.24971415,0.23503931,0.54811835,0.3161524
20,0.18235739,0.22034496,20330,0.2422896,0.2272225,0.575353,0.30710545
21,0.15954971,0.20390545,32965,0.29501516,0.2795049,0.54543513,0.32598785
22,0.21593112,0.2359657,26410,0.2662206,0.22697817,0.5178483,0.30179352
23,0.20818046,0.238712,20205,0.2625147,0.22716388,0.5293048,0.306624
24,0.19527946,0.22645201,17535,0.2562286,0.22318329,0.54849195,0.30234775
25,0.19092146,0.22331207,17655,0.25071293,0.21610588,0.55836564,0.29831535
26,0.1933311,0.23338275,18175,0.24376082,0.21749286,0.5629081,0.30366963
27,0.15959,0.20124179,28740,0.22737476,0.20279364,0.61303526,0.28761455
28,0.14292659,0.19504647,56220,0.20812924,0.1977642,0.64894414,0.28259858
29,0.22466454,0.24556766,36555,0.2633038,0.2142539,0.5120317,0.2972962
30,0.20273976,0.22670414,26920,0.2691379,0.21522917,0.52812237,0.29019335
31,0.22080772,0.22658087,195795,0.30282032,0.22326921,0.47637194,0.2816381
32,0.23143363,0.22313915,148700,0.31977904,0.21352972,0.44878736,0.26511356
33,0.23047735,0.21275875,245790,0.33569226,0.20862712,0.4338304,0.25764716
34,0.21880233,0.20278695,204875,0.3926511,0.24217011,0.38854656,0.26626992
35,0.24385297,0.20090027,198250,0.3825731,0.20683013,0.37357393,0.24513063
36,0.25559047,0.20040798,243030,0.42893255,0.22321746,0.315477,0.24950932
37,0.2618959,0.2020363,189600,0.4833352,0.24330236,0.25476894,0.2509838
