name,combined_mean,combined_std
LOS,0.0940084725618362,0.002050228262760779
SERVICES_D,0.055304117159297006,0.037092749149596115
STFIPS,0.03627916239202016,0.010175718526514874
CBSA2020,0.035628117993473964,0.005417714648224389
SERVICES,0.0344332685170229,0.03507341187900108
FREQ1_D,0.0325060969839493,0.006245853138340174
LIVARAG_D,0.007383144367486167,0.0008229625998048337
ARRESTS_D,0.007222716696560334,0.004316940268646286
FREQ_ATND_SELF_HELP_D,0.007082144046823134,0.0014608344085870633
DIVISION,0.0046088566227505,0.0034687233968537052
SUB1_D,0.004230196385954767,0.003031010764473077
DSMCRIT,0.0033162136406947335,0.0006209368514087827
PSOURCE,0.0032481386403863002,0.0014800760814476597
REGION,0.0031721710033404,0.0027164323759283045
METHUSE,0.0028077991679310334,0.00037917349880066815
PRIMPAY,0.0026932753156869997,0.0004956032617424999
EMPLOY_D,0.0023704953802128003,0.0007229816055238805
DAYWAIT,0.0017230771055134,0.0006816536871556303
PSYPROB,0.0017077572333315334,0.0007236807140388604
DETCRIM,0.0013015203954030666,0.0003619374570609879
HLTHINS,0.0012807505748544668,0.00016034912237828777
LIVARAG,0.0012637481171016334,0.000493847533357969
DETNLF_D,0.0011848030107406,0.00029510143355748064
SUB1,0.0010307124408426998,0.0005608020911438944
ALCDRUG,0.0009351374038184334,0.0006740772151968388
IDU,0.0009052882727701,0.0007962280870489977
FREQ_ATND_SELF_HELP,0.0007193885321612358,0.00048748720062724175
PRIMINC,0.0006948305759578666,0.00018731473417845065
MARSTAT,0.0006861780585798333,0.000397523144200911
FREQ3_D,0.0006826287892181,0.0002800962678888827
FRSTUSE1,0.0005204857894568333,0.00038097785363728923
NOPRIOR,0.0005110676885426666,0.00015738956797444682
ARRESTS,0.0005108833448805333,0.0002730560940490788
PREG,0.00047740112543876665,0.00021432039485448688
FREQ1,0.00046928731656710004,0.0003123400751213896
AGE,0.00046407812624233336,0.0001690619693401443
SUB3_D,0.0004112639280113,0.0001525270617125182
GENDER,0.00040675844356880003,0.00018407705688787784
EDUC,0.0003948205400471187,0.00031069201034871277
SUB3,0.00035436211910559994,0.0001637143738342357
FRSTUSE3,0.00034418492286923333,0.00020579319896691956
EMPLOY,0.00032819655898486664,0.00011330186412944524
VET,0.00032251201531223337,8.421426085323047e-05
RACE,0.00031167994214529996,6.0415289784603035e-05
SUB2_D,0.0003055899049892546,0.0003915598179589336
ROUTE1,0.00030386548945286664,0.00017391196156580876
DETNLF,0.0002566247903814266,0.00024961825133734076
ROUTE3,0.0002542146180833759,0.0001694704263636435
ROUTE2,0.00023169227060856665,8.339919671682433e-05
SUB2,0.00021505370702164434,0.00012213416151291202
ALCFLG,0.0001868242761702,8.296865701557116e-05
FRSTUSE2,0.00016446865435376925,6.609643053516093e-05
FREQ2_D,0.0001588154390143405,9.508278452295984e-05
HERFLG,0.00015728604145496668,4.154696013684128e-05
FREQ2,0.00015304772750820875,6.184430227334202e-05
OPSYNFLG,0.00010678270094402301,4.1924196960904055e-05
MTHAMFLG,9.285231414346432e-05,4.508559979093896e-05
MARFLG,8.852379150993282e-05,4.6333711684176494e-05
ETHNIC,7.269241881051081e-05,3.187708998176734e-05
FREQ3,4.849463841762152e-05,4.4963235025964256e-05
COKEFLG,4.0721961219484615e-05,2.4279475940381747e-05
OTHERFLG,3.5339713781468164e-05,3.0210067652659107e-05
BENZFLG,2.5775748501170407e-05,1.7260478995925095e-05
METHFLG,1.007408958078789e-05,5.6391480317905056e-06
PCPFLG,9.599957123403632e-06,6.022447015762634e-06
SEDHPFLG,7.921441946715883e-06,9.123220017437504e-06
AMPHFLG,6.621525032339074e-06,9.240987680015836e-06
STIMFLG,6.1163833227813784e-06,6.335745855026219e-06
HALLFLG,5.210283400932288e-06,6.9722175231570756e-06
OTCFLG,3.7922855436060367e-06,4.250968197053487e-06
INHFLG,1.6359300796390623e-06,4.433058732920106e-06
BARBFLG,1.4909975201741569e-06,4.739689256794509e-06
TRNQFLG,-3.247863295049077e-07,2.640176012025448e-06
