,name,IG_share_all,rank_all
0,STFIPS,0.04851676587557431,1
1,SERVICES,0.04671056889080205,2
2,MARSTAT,0.03129365783274873,3
3,DETCRIM,0.03033953405449179,4
4,PSOURCE,0.030111033990041676,5
5,LOS,0.028020513685310933,6
6,GENDER,0.024694947353561175,7
7,DETNLF_D,0.024689812751046075,8
8,ARRESTS_D,0.024441466154241913,9
9,SERVICES_D,0.024082073512429344,10
10,LIVARAG_D,0.02275415109988698,11
11,LIVARAG,0.02119073232742865,12
12,FREQ_ATND_SELF_HELP_D,0.019711221392723403,13
13,CBSA2020,0.019397476184370654,14
14,OTHERFLG,0.01876752055572662,15
15,TRNQFLG,0.018491267365711665,16
16,EMPLOY_D,0.016847686150609907,17
17,HLTHINS,0.01644983214661795,18
18,STIMFLG,0.01595091552431518,19
19,OPSYNFLG,0.015576011354508297,20
20,EDUC,0.01551838701000097,21
21,FRSTUSE2,0.015359872416421649,22
22,METHUSE,0.015246390488514257,23
23,DETNLF,0.015115757318283612,24
24,SUB1_D,0.015073388854446614,25
25,OTCFLG,0.01506151863440569,26
26,PCPFLG,0.015057828023663292,27
27,EMPLOY,0.015006741075208064,28
28,REGION,0.01467116203165929,29
29,IDU,0.01441292237540092,30
30,ROUTE1,0.013821948374779767,31
31,HERFLG,0.013406941636542631,32
32,FRSTUSE3,0.012727067752893444,33
33,SUB2,0.011705119047522387,34
34,AGE,0.011671150629613733,35
35,FRSTUSE1,0.011577827030135653,36
36,DIVISION,0.011572162875062008,37
37,PSYPROB,0.011569661945344385,38
38,HALLFLG,0.011536684336743565,39
39,FREQ2_D,0.011384171735385905,40
40,NOPRIOR,0.011041477291923223,41
41,FREQ3_D,0.010561396336811314,42
42,FREQ1_D,0.010482851679569019,43
43,SUB1,0.009770658181687809,44
44,ALCDRUG,0.009699543059547708,45
45,INHFLG,0.009404297128647715,46
46,BENZFLG,0.009402821792059049,47
47,FREQ2,0.008422503716610614,48
48,VET,0.00826726642829555,49
49,ALCFLG,0.008110282059075373,50
50,SUB3_D,0.007884187935985597,51
51,ROUTE3,0.007876893659894621,52
52,DAYWAIT,0.007739635467995865,53
53,PREG,0.007561304524682556,54
54,SUB3,0.0071234438564931135,55
55,COKEFLG,0.006882570675914046,56
56,ETHNIC,0.006760639903567241,57
57,MARFLG,0.006681753691420967,58
58,MTHAMFLG,0.006445279574357349,59
59,SEDHPFLG,0.0063094631424354475,60
60,SUB2_D,0.006068711261095132,61
61,DSMCRIT,0.005974153844352522,62
62,FREQ3,0.005914201933317941,63
63,METHFLG,0.005572935739750702,64
64,FREQ_ATND_SELF_HELP,0.005450660514563714,65
65,AMPHFLG,0.0054416647393043405,66
66,FREQ1,0.005249371383863582,67
67,RACE,0.005005664468232185,68
68,PRIMPAY,0.004603730150986693,69
69,ARRESTS,0.0045331529715480975,70
70,ROUTE2,0.003914352168391849,71
71,BARBFLG,0.00360868972027726,72
72,PRIMINC,0.0027005466536036467,73
